Id,Product Category,Product,City,Sales,Date,Units Sold
1,Books,Self-Help Guide,Phoenix,$54.74,6/3/2023,4
2,Home Goods,Blender X100,Los Angeles,"$1,059.04",2/24/2024,7
3,Books,Self-Help Guide,Houston,$163.66,2/3/2024,11
4,Groceries,Protein Bar 12-Pack,San Diego,$19.16,10/23/2023,2
5,Home Goods,Desk Lamp,Los Angeles,$590.24,10/26/2024,4
6,Electronics,Headphones,San Diego,"$6,956.88",5/7/2023,15
7,Books,Self-Help Guide,New York,$144.07,10/27/2023,9
8,Apparel,T-shirt Basic,New York,$95.19,4/10/2024,2
9,Home Goods,Blender X100,Houston,"$1,930.89",7/20/2023,14
10,Apparel,Jeans Slim,New York,$96.21,1/29/2023,2
11,Home Goods,Coffee Maker V3,Philadelphia,$301.36,7/5/2023,2
12,Electronics,Smartwatch Z,Los Angeles,"$2,542.31",7/18/2024,5
13,Groceries,Organic Coffee,Phoenix,$62.53,4/29/2024,6
14,Electronics,Laptop Pro,Houston,"$9,191.18",4/8/2023,20
15,Groceries,Organic Coffee,Philadelphia,$42.93,2/1/2023,4
16,Apparel,Sneakers V2,Phoenix,$106.62,4/1/2024,2
17,Apparel,Jeans Slim,Chicago,$93.30,8/2/2024,2
18,Groceries,Organic Coffee,Philadelphia,$49.99,6/11/2024,5
19,Groceries,Organic Coffee,Phoenix,$73.85,9/5/2024,7
20,Electronics,Smartwatch Z,San Diego,"$1,021.95",10/1/2023,2
21,Apparel,Jacket Bomber,Chicago,$164.87,1/23/2024,3
22,Electronics,Headphones,Houston,"$2,074.15",7/20/2024,4
23,Books,Self-Help Guide,New York,$123.52,2/26/2024,8
24,Books,Cooking Book,San Antonio,$44.00,9/28/2023,3
25,Electronics,Smartwatch Z,San Diego,"$2,475.25",5/27/2024,5
26,Electronics,Smartwatch Z,Philadelphia,"$1,482.85",12/22/2024,3
27,Electronics,Smartphone X,Phoenix,"$1,991.16",2/19/2023,4
28,Apparel,Sneakers V2,Phoenix,$138.02,5/8/2023,3
29,Apparel,Jacket Bomber,New York,$423.94,11/30/2023,8
30,Electronics,Smartphone X,San Antonio,"$1,811.86",1/28/2024,4
31,Electronics,Smartphone X,Chicago,"$2,169.41",11/14/2023,4
32,Electronics,Smartwatch Z,Los Angeles,"$2,875.64",11/19/2024,6
33,Books,Fiction Best Seller,San Antonio,$31.30,1/26/2023,2
34,Groceries,Protein Bar 12-Pack,San Antonio,$32.75,10/7/2023,3
35,Groceries,Cereal Max,Chicago,$177.80,8/14/2023,18
36,Groceries,Organic Coffee,Philadelphia,$100.65,10/5/2023,10
37,Groceries,Protein Bar 12-Pack,San Diego,$39.87,10/29/2023,4
38,Electronics,Headphones,San Antonio,"$4,066.20",8/19/2024,8
39,Groceries,Organic Coffee,Chicago,$36.84,9/7/2024,4
40,Groceries,Cereal Max,Los Angeles,$57.29,4/24/2023,6
41,Groceries,Cereal Max,Philadelphia,$236.89,4/24/2023,24
42,Books,Fiction Best Seller,Houston,$32.41,12/20/2023,2
43,Home Goods,Blender X100,San Antonio,$729.82,8/13/2024,5
44,Books,Cooking Book,Chicago,$42.42,7/17/2024,3
45,Apparel,Jacket Bomber,Houston,$731.78,3/4/2023,16
46,Apparel,T-shirt Basic,Phoenix,$219.70,1/8/2024,4
47,Groceries,Cereal Max,Chicago,$18.17,5/23/2024,2
48,Home Goods,Desk Lamp,Philadelphia,"$1,541.55",12/5/2024,10
49,Apparel,T-shirt Basic,New York,$286.64,1/14/2023,6
50,Books,Self-Help Guide,San Diego,$268.87,5/28/2023,18
51,Home Goods,Coffee Maker V3,Los Angeles,$456.90,12/22/2023,3
52,Apparel,Sneakers V2,San Diego,$90.10,1/9/2024,2
53,Groceries,Cereal Max,Los Angeles,$19.29,7/7/2024,2
54,Books,Self-Help Guide,Houston,$31.64,11/19/2024,2
55,Apparel,Sneakers V2,New York,$104.47,10/18/2023,2
56,Groceries,Cereal Max,New York,$21.64,5/22/2024,2
57,Apparel,T-shirt Basic,San Antonio,$522.74,4/9/2023,10
58,Groceries,Organic Coffee,San Diego,$20.93,8/2/2023,2
59,Home Goods,Smart Vacuum,Phoenix,$281.56,12/17/2024,2
60,Electronics,Smartphone X,Los Angeles,"$2,741.83",1/31/2023,5
61,Home Goods,Coffee Maker V3,Chicago,$301.73,11/7/2023,2
62,Groceries,Protein Bar 12-Pack,Chicago,$63.36,2/4/2023,6
63,Electronics,Smartwatch Z,Chicago,"$1,059.93",9/2/2023,2
64,Apparel,Jeans Slim,Los Angeles,$466.23,5/14/2023,9
65,Home Goods,Smart Vacuum,Chicago,$556.20,5/7/2023,4
66,Apparel,Jeans Slim,Phoenix,$247.77,4/17/2023,5
67,Groceries,Cereal Max,Phoenix,$18.96,4/7/2024,2
68,Electronics,Smartphone X,New York,$954.05,8/20/2023,2
69,Books,Fiction Best Seller,San Diego,$47.85,11/21/2024,3
70,Apparel,Jacket Bomber,Philadelphia,$92.15,4/29/2024,2
71,Books,Fiction Best Seller,Chicago,$57.85,6/5/2024,4
72,Apparel,Jacket Bomber,Philadelphia,$365.91,5/12/2024,8
73,Apparel,Sneakers V2,San Antonio,$140.83,10/2/2023,3
74,Apparel,Sneakers V2,Los Angeles,$318.66,6/10/2024,6
75,Groceries,Cereal Max,San Diego,$37.15,4/24/2024,4
76,Electronics,Headphones,Los Angeles,"$8,099.49",10/6/2023,16
77,Books,Self-Help Guide,Los Angeles,$58.49,2/6/2024,4
78,Books,Fiction Best Seller,Los Angeles,$29.45,5/11/2023,2
79,Electronics,Headphones,San Diego,"$3,093.37",4/28/2024,6
80,Electronics,Smartphone X,Philadelphia,"$1,082.65",9/3/2023,2
81,Electronics,Smartphone X,Phoenix,"$1,456.07",1/25/2024,3
82,Home Goods,Smart Vacuum,Los Angeles,$954.12,1/5/2023,7
83,Books,Self-Help Guide,Los Angeles,$124.24,6/26/2023,8
84,Apparel,Jacket Bomber,Los Angeles,$107.06,10/6/2023,2
85,Groceries,Organic Coffee,Chicago,$41.47,9/13/2024,4
86,Home Goods,Coffee Maker V3,Los Angeles,$467.28,2/8/2024,3
87,Apparel,Jeans Slim,Chicago,$581.40,2/14/2023,11
88,Books,Fiction Best Seller,New York,$328.39,6/20/2023,23
89,Groceries,Cereal Max,Phoenix,$37.67,12/13/2023,4
90,Groceries,Organic Coffee,San Diego,$75.70,1/11/2024,7
91,Home Goods,Blender X100,Los Angeles,$611.50,5/4/2024,4
92,Books,Self-Help Guide,San Diego,$93.88,11/19/2024,6
93,Electronics,Smartphone X,Philadelphia,"$3,579.66",12/19/2024,7
94,Apparel,Sneakers V2,New York,$290.40,6/21/2023,6
95,Home Goods,Desk Lamp,Los Angeles,$544.72,9/29/2024,4
96,Books,Cooking Book,Los Angeles,$28.95,12/20/2023,2
97,Electronics,Headphones,San Antonio,"$4,216.60",12/10/2024,8
98,Books,Cooking Book,Chicago,$57.84,7/29/2024,4
99,Groceries,Cereal Max,San Diego,$74.32,3/11/2023,8
100,Electronics,Smartphone X,San Diego,"$6,582.91",11/4/2023,14
101,Apparel,Jacket Bomber,San Antonio,"$1,071.87",10/29/2024,20
102,Books,Self-Help Guide,Phoenix,$185.49,12/1/2024,12
103,Books,Cooking Book,Chicago,$180.11,12/7/2023,12
